"Carimbo de data/hora","1 - Qual sua idade?","2 - Qual o seu meio principal de informação?","3 - Como está sua rotina? ","4 - Tem usado quais utensílios de prevenção indicados contra o coronavírus?","5 - É a favor do isolamento social para contenção do vírus ? ","6 - Como você está se sentindo neste momento de pandemia?","7 - Qual(is) sua(s) ocupação(ões)?","8 - É/São em um serviço considerado essencial?","9 - Qual sua renda mensal per capita antes da pandemia do Coronavírus?","10 - Você teve a redução desta renda durante a pandemia?"
"2020/04/27 7:37:23 PM GMT-3","25","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante;Desempregado","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 7:38:16 PM GMT-3","32","TV, sites oficiais de notícia, rádios","Saindo para outras atividades","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;Desempregado","Sim","De R$ 1045,00 a R$ 3135,00;","Sim, muito (mais da metade)"
"2020/04/27 7:39:56 PM GMT-3","46","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Depressivo","Servidor/funcionário público","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 7:41:44 PM GMT-3","33","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Depressivo","Estudante;CLT","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 7:42:55 PM GMT-3","22","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Normal","Estudante","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 7:47:26 PM GMT-3","30","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal;Preocupado","Estudante;Estagiária","Não","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 7:53:09 PM GMT-3","21","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal;Ansioso;Depressivo","Estudante;CLT","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 7:59:09 PM GMT-3","23","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Ansioso","Estudante","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 8:07:24 PM GMT-3","27","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante;Desempregado","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 8:19:09 PM GMT-3","62 anos","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;CLT","Sim","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 8:21:25 PM GMT-3","63","TV, sites oficiais de notícia, rádios","Em isolamento total","Álcool em gel;Sabão","Sim","Preocupado","Estudante;Autônomo;Tradutora, aposentada","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 8:33:31 PM GMT-3","64 anos","TV, sites oficiais de notícia, rádios","Em isolamento total","Álcool em gel;Sabão","Sim","Depressivo","Estudante;Dona de casa. não tenho renda  somente aposentadoria esposo","Sim","Acima de R$ 3135,00;","Não"
"2020/04/27 8:35:34 PM GMT-3","57","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;Autônomo","Sim","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 8:39:15 PM GMT-3","32","Trabalho/estudo na área da saúde","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Depressivo","Estudante;Servidor/funcionário público","Sim","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 8:46:19 PM GMT-3","27","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante","Não se aplica","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 8:48:59 PM GMT-3","21","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Álcool em gel;Sabão","Sim","Normal","Estudante","Não","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 9:00:41 PM GMT-3","37 anos","TV, sites oficiais de notícia, rádios","Em isolamento total","Álcool em gel;Sabão","Sim","Ansioso","Estudante;Autônomo","Não se aplica","De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
"2020/04/27 9:02:02 PM GMT-3","28","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","CLT","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 9:05:37 PM GMT-3","27","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;CLT","Não","Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 9:13:54 PM GMT-3","54","TV, sites oficiais de notícia, rádios","Normal, saindo para estudo/trabalho presencial","Máscaras;Luvas","Sim","Normal","CLT","Sim","Acima de R$ 3135,00;","Não"
"2020/04/27 9:25:35 PM GMT-3","38","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;CLT","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 9:25:43 PM GMT-3","23","TV, sites oficiais de notícia, rádios","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 9:32:36 PM GMT-3","51","Trabalho/estudo na área da saúde","Normal, saindo para estudo/trabalho presencial","Máscaras;Álcool em gel;Sabão","Sim","Normal","Servidor/funcionário público","Sim","Acima de R$ 3135,00;","Não"
